OG_name	Emi219	Emi370	Emi374	Emi379	Emihu1	
OG1_5_1406	2	3	2	0	3	
OG1_5_1407	2	2	2	2	2	
OG1_5_1408	2	5	1	1	1	
OG1_5_1409	3	3	1	1	2	
OG1_5_1410	2	1	1	1	5	
OG1_5_1411	8	1	0	1	0	
OG1_5_1412	2	2	2	3	1	
OG1_5_1413	2	2	2	2	2	
OG1_5_1414	2	2	2	2	2	
OG1_5_1415	3	6	0	1	0	
OG1_5_1416	3	2	2	1	2	
OG1_5_1417	3	3	0	1	3	
OG1_5_1418	4	2	0	1	3	
OG1_5_1419	3	2	1	2	2	
OG1_5_1420	2	4	1	1	2	
OG1_5_1421	5	2	1	1	1	
OG1_5_1422	3	3	1	2	1	
OG1_5_1423	3	3	1	2	1	
OG1_5_1424	2	3	1	2	2	
OG1_5_1425	2	2	1	2	3	
OG1_5_1426	3	2	0	2	3	
OG1_5_1427	3	3	2	1	1	
OG1_5_1428	4	2	1	1	2	
OG1_5_1429	3	4	1	1	1	
OG1_5_1430	2	2	2	1	3	
OG1_5_1431	4	2	3	0	1	
OG1_5_1432	2	2	2	3	1	
OG1_5_1433	3	2	2	1	2	
OG1_5_1434	2	3	1	1	3	
OG1_5_1435	2	3	1	2	2	
OG1_5_1436	4	2	1	2	1	
OG1_5_1437	3	3	1	3	0	
OG1_5_1438	4	2	2	1	1	
OG1_5_1439	2	3	2	1	2	
OG1_5_1440	2	3	1	3	1	
OG1_5_1441	3	3	2	1	1	
OG1_5_1442	2	1	3	2	2	
OG1_5_1443	4	2	1	2	1	
OG1_5_1444	4	2	1	2	1	
OG1_5_1445	2	2	2	2	2	
OG1_5_1446	2	3	1	1	3	
OG1_5_1447	3	2	2	1	2	
OG1_5_1448	2	1	0	1	6	
OG1_5_1449	3	2	1	0	4	
OG1_5_1450	1	1	3	0	5	
OG1_5_1451	0	0	0	0	10	
OG1_5_1452	1	1	1	1	6	
OG1_5_1453	2	1	0	1	6	
OG1_5_1454	2	2	2	2	2	
OG1_5_1455	1	0	1	1	7	
OG1_5_1456	1	2	0	0	7	
OG1_5_1457	0	0	0	0	10	
OG1_5_1458	1	0	0	0	9	
OG1_5_1459	1	2	2	1	4	
OG1_5_1460	1	1	1	2	5	
OG1_5_1461	1	1	1	3	4	
OG1_5_1462	2	2	2	2	2	
OG1_5_1463	0	1	1	0	8	
OG1_5_1464	0	0	0	0	10	
OG1_5_1465	0	1	1	0	8	
OG1_5_1466	1	1	0	1	7	
OG1_5_1467	1	2	2	2	3	
OG1_5_1468	2	2	2	2	2	
OG1_5_1469	0	0	0	0	10	
OG1_5_1470	1	2	2	2	3	
OG1_5_1471	1	4	2	1	2	
OG1_5_1472	1	2	1	1	5	
OG1_5_1473	0	1	0	0	9	
OG1_5_1474	1	1	0	1	7	
OG1_5_1475	2	2	2	2	2	
OG1_5_1476	1	3	2	1	3	
OG1_5_1477	0	0	0	0	10	
OG1_5_1478	0	1	0	0	9	
OG1_5_1479	2	3	1	2	2	
OG1_5_1480	2	2	1	2	3	
OG1_5_1481	2	2	2	2	2	
OG1_5_1482	1	0	0	0	9	
OG1_5_1483	1	2	0	1	6	
OG1_5_1484	0	1	0	0	9	
OG1_5_1485	0	0	0	0	10	
OG1_5_1486	2	2	3	1	2	
OG1_5_1487	1	3	1	2	3	
OG1_5_1488	2	1	1	3	3	
OG1_5_1489	1	1	2	2	4	
OG1_5_1490	0	1	1	0	8	
OG1_5_1491	2	2	0	1	5	
OG1_5_1492	2	2	2	2	2	
OG1_5_1493	2	2	2	2	2	
OG1_5_1494	2	2	2	2	2	
OG1_5_1495	2	2	1	1	4	
OG1_5_1496	2	2	2	2	2	
OG1_5_1497	2	2	2	2	2	
OG1_5_1498	3	2	1	2	2	
OG1_5_1499	2	1	2	1	4	
OG1_5_1500	3	2	0	2	3	
OG1_5_1501	1	2	0	0	7	
OG1_5_1502	2	2	0	1	5	
OG1_5_1503	2	2	1	2	3	
OG1_5_1504	1	5	0	2	2	
OG1_5_1505	2	3	1	2	2	
OG1_5_1506	2	2	2	1	3	
OG1_5_1507	2	4	1	0	3	
OG1_5_1508	1	2	1	2	4	
OG1_5_1509	1	1	2	3	3	
OG1_5_1510	3	1	1	2	3	
OG1_5_1511	1	4	1	1	3	
OG1_5_1512	2	3	1	1	3	
OG1_5_1513	1	2	1	2	4	
OG1_5_1514	1	2	2	1	4	
