gID	E1-Q	E1-R	E1-S	E1-T	E1-V	E1-X	E1-Z1	E1-Z4	E2-Q	E2-R	E2-S	E2-T	E2-V	E2-X	E2-Z5	E2-Z9	E3-Q	E3-R	E3-S	E3-T	E3-V	E3-X	E3-Z10	E3-Z11
Oxymar	5811	6089	6106	6741	4521	5156	7140	8195	7049	5671	6476	7417	5065	5210	7427	6911	6543	6381	4405	7522	5328	3531	9196	7845
Rhimar	92412	123461	98231	93812	75113	78524	83369	79440	98723	64358	95005	110830	69250	71712	79998	71419	96670	94436	67257	99092	79667	67667	90411	104338
Thafra	76058	74185	97026	91763	128929	87883	94424	86075	95681	75022	85926	95465	102309	102373	72345	89155	93377	85693	86430	94940	110194	89108	103758	88371
Eryaus	40593	38057	46786	122696	38242	37020	39340	42902	43239	32271	43458	47652	31204	36754	43716	54207	45151	54323	31108	44593	35357	33632	43844	68217
Hemand	254276	145608	233574	217810	134423	142906	193998	165883	180975	121790	219803	256583	124312	130386	179804	167476	222752	211245	108940	179076	182468	119234	230884	258500
RCC7019	11864	4348	10028	9020	3661	4127	7307	5614	6535	4551	10088	13033	3895	4201	7061	6679	11287	10553	3505	8046	8052	5086	9466	9941
Euphar	54957	49861	65707	65781	59249	50841	60949	58856	64112	48905	58800	65736	51374	50655	50140	56717	63423	59947	42696	68252	45163	38952	69242	58869
Phaant	207737	180669	206953	217581	144801	174423	203243	246413	246808	155222	247323	311466	145235	158397	255473	201353	218513	216108	124246	255907	163042	110757	219501	230633
Picsp	58747	39236	60135	54613	47698	39253	50943	46099	49086	36293	56752	65677	37781	39396	49440	56784	63893	62943	36963	51349	46332	41166	59698	76236
Skecos	50654	41648	57218	54561	76736	53681	53116	46895	51824	41930	51272	57223	64625	56846	42189	46420	57384	52162	52468	53990	77845	59238	57228	52283
Nitsp	139193	144963	166495	161627	302331	179114	152257	148482	162088	151323	152007	169042	221786	200161	128385	141769	159294	150011	190650	168843	249545	189186	171577	148363
Flosp	80314	67562	83563	84682	59238	67203	73441	76472	174327	56024	94818	124300	54961	58097	78658	66121	82753	80606	59844	101304	64110	54358	77191	103892
Attsep	63330	59651	75817	71236	93713	65844	68351	64689	72810	57196	67362	74252	74861	72372	55870	63623	71421	67012	64421	72319	78122	60203	80098	69650
RCC7013	2809	2392	3298	3960	1821	2284	2679	2539	2747	2354	3383	3380	1861	2156	2464	2296	2635	2543	1758	2833	2011	1687	3110	2866
RCC7012	2676	2267	3215	3201	2180	2336	2531	2320	2740	2034	3019	3156	1926	2166	2225	2142	2962	2604	1720	2881	1881	1820	2887	2380
RCC7015	2597	2340	2660	2945	1715	2349	2610	2569	2771	2126	2674	3203	1860	2299	2373	2434	2767	2521	1519	3018	1961	1610	2832	2582
RCC7014	5637	5424	6118	7247	8205	6545	5911	5861	9352	4139	4732	6132	5611	4334	5657	4988	7012	6980	5499	7249	4395	4092	7527	3828
RCC7017	2924	2241	2872	3160	2153	2141	2776	2317	2616	1922	2927	3048	1970	2197	2134	2444	2592	2493	1702	2623	1838	1727	3105	2947
Bolpac	148122	124891	159973	166039	132801	131868	146972	130265	148797	110499	152531	175245	120648	123343	122954	123595	157145	143421	102981	152782	132264	112865	155878	141788
Mansp	155786	181431	174905	187262	298156	106637	201963	256934	125635	197852	229261	173348	144891	203736	325271	801549	270944	608901	269619	203376	172209	198887	182463	997434
Psesp	117618	79032	127192	130146	88473	80457	125772	97046	111339	75145	114503	127881	77767	80448	87370	100470	128864	118699	66421	112987	91655	79247	127250	116912
Alecat	337393	412261	333874	343174	264390	369315	324647	345189	386233	333428	383764	380745	300560	307030	373978	288043	350042	355218	235529	384144	287877	177428	397701	359526
Fraker	276140	313060	329542	331124	639126	455967	317809	299631	319008	306098	305571	333125	430672	467877	267179	306378	325654	299845	365248	331381	578584	548994	402644	333119
OdoSin	63805	59293	71494	68784	73204	65506	64875	60989	69219	52371	65721	74161	60920	64254	55033	56936	67307	65737	52920	70052	74368	57663	70906	64786
Ampcar	247727	278174	359432	347136	227019	265146	251062	278559	302493	217384	273750	326519	220003	232950	263337	250221	290848	289463	187460	311327	212818	174828	310139	288452
RCC7018	2773	2638	2956	3165	2747	2481	3034	2513	3014	2442	2940	3558	2371	2560	2453	2337	2855	3030	2319	3175	2357	2279	3237	2834
Neodes	94428	94452	97234	97451	84245	91312	83928	88837	115513	81654	104477	122224	74890	94241	89079	87179	95681	102524	66690	105500	78484	67807	93984	103981
Thaant	83378	74807	105564	102934	131931	90749	104321	91464	98537	73966	90539	101935	111155	102032	74577	95695	98175	86232	87381	98217	110057	91842	109982	95408
CCMP2000	62512	48622	64064	66163	40369	78279	64105	72218	69644	41328	70280	89639	40062	42451	73009	63745	64329	65776	34272	72277	44085	31285	68784	66026
Eupcra	77265	44875	85260	103747	55874	43957	97407	64898	68488	46213	76986	85721	48688	48817	54984	69698	87249	63544	40864	68965	46118	40500	92250	83724
Chadeb	81438	77534	100415	98788	108080	86102	92773	90908	97430	72117	90480	98273	90048	93550	79850	102665	100341	97991	90796	101215	86666	80007	102303	115348
Malsp	64265	64182	78463	79557	71937	72944	77013	70035	74563	55161	71107	77154	62237	67033	62068	70959	74945	65502	51509	73647	59669	57206	85087	72465
CCMP2293	234962	182764	221727	228958	169343	178939	207362	187645	207738	155825	232352	263690	163088	163981	195951	171977	221363	206475	138385	206687	175034	117093	229575	223284
Scrtro	879960	1485302	853499	862646	892679	1468296	946033	990688	949903	1331623	947904	917285	1138866	1172494	997674	805120	941467	975143	1340884	1025545	1384847	822578	1199460	1124281
Chacf.	61264	58076	76699	71529	85632	65932	66846	64966	68974	53889	65131	69975	65944	68301	57141	77644	73373	74221	61342	70563	69678	68106	74068	89467
Thanit	89405	83684	114245	104690	150471	104667	105252	95556	105182	83764	98190	112516	113711	112096	80079	100003	101896	95280	103578	104312	150283	132853	110495	99745
Thrsp	86230	69082	92791	99631	73277	69943	85448	83073	84325	59217	80998	93807	64112	66812	70874	74747	83730	78049	55448	136009	60781	69173	95899	84572
Polgla	411984	482668	429582	415242	363139	447459	380108	402423	485324	357493	420372	437201	345112	362641	426632	356627	435539	445792	297510	435866	372892	341084	480502	462091
Gemsp	131958	108727	139110	134879	111779	114417	128883	123164	129698	93658	135076	147485	100331	105135	120304	116653	135528	127046	86059	134592	105181	86463	147002	146204
Minpol	191691	174412	215101	205334	202429	190307	179718	178305	201777	154397	201501	229363	175933	183354	164339	164829	202192	195929	157047	206098	213741	158992	210643	194998
Peraci	330464	432371	328872	336853	284141	385197	325685	364596	363678	334485	365463	370700	306615	312709	383504	307090	341575	396725	276427	378480	329030	209709	411345	384804
Extspi	272768	250448	311300	328397	272242	309395	279327	227052	284390	182455	249810	251064	209319	222734	257736	218445	261453	255278	376845	280384	326916	384852	249016	592746
Proala	102285	116391	130782	119732	134606	112567	123100	110696	122463	86770	106733	120837	102348	112843	93416	116899	118367	114335	92217	118046	115855	127346	132292	116091
